,DIN,Keep,Opioid,Form,Route,Brand,MED_per_dispensing_unit,No_tabs/ml assuming 50 MED limit per day,No_tabs/ml assuming 90 MED limit per day,Maximum No_tabs/ml assuming 50 MED limit for 7 days,Maximum No_tabs/ml assuming 50 MED limit for 14 days,Maximum No_tabs/ml assuming 50 MED limit for 30 days,Status1
305,2339609,NA,NALOXONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
306,2339609,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,15,3,6,21,42,90,MARKETED
307,2339617,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,30,2,3,14,28,60,MARKETED
308,2339617,NA,NALOXONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
309,2339617,NA,NALOXONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
310,2339617,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,30,2,3,14,28,60,MARKETED
311,2339625,NA,NALOXONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
312,2339625,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,60,1,2,7,14,30,MARKETED
313,2339625,NA,NALOXONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
314,2339625,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,60,1,2,7,14,30,MARKETED
315,2341174,NA,BUPRENORPHINE 5 MCG,PATCH,TRANSDERMAL,BUTRANS 5,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
316,2341212,NA,BUPRENORPHINE 10 MCG,PATCH,TRANSDERMAL,BUTRANS 10,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
317,2341220,NA,BUPRENORPHINE 20 MCG,PATCH,TRANSDERMAL,BUTRANS 20,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
318,2341379,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,48,1,2,7,14,30,MARKETED
319,2341387,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,100,0,1,0,0,0,MARKETED
320,2341395,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,200,0,0,0,0,0,MARKETED
321,2341409,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,300,0,0,0,0,0,MARKETED
322,2341417,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,PMS-FENTANYL MTX,400,0,0,0,0,0,MARKETED
323,2346362,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,15,3,6,21,42,90,CANCELLED PRE MARKET
324,2346370,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,30,2,3,14,28,60,CANCELLED PRE MARKET
325,2346389,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,60,1,2,7,14,30,CANCELLED PRE MARKET
326,2346397,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,100,0,1,0,0,0,CANCELLED PRE MARKET
327,2346400,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,NTP-MORPHINE SR,200,0,0,0,0,0,CANCELLED PRE MARKET
328,2347180,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TEVA-TRAMADOL/ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
329,2349469,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,ULTRAM,5,10,18,70,140,300,MARKETED
330,2350815,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,15,3,6,21,42,90,MARKETED
331,2350890,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,30,2,3,14,28,60,MARKETED
332,2350912,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,60,1,2,7,14,30,MARKETED
333,2350920,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,100,0,1,0,0,0,CANCELLED POST MARKET
334,2350947,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,MORPHINE SR,200,0,0,0,0,0,CANCELLED POST MARKET
335,2359502,NA,HYDROMORPHONE HYDROCHLORIDE 4.5 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN,22.5,2,4,14,28,60,MARKETED
336,2359510,NA,HYDROMORPHONE HYDROCHLORIDE 9 MG,CAPSULE (SUSTAINED-RELEASE),ORAL,HYDROMORPH CONTIN,45,1,2,7,14,30,MARKETED
337,2360322,NA,TRAMADOL HYDROCHLORIDE 75 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,7.5,7,12,49,98,210,MARKETED
338,2360349,NA,TRAMADOL HYDROCHLORIDE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,ZYTRAM XL,10,5,9,35,70,150,MARKETED
339,2361361,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET,ORAL,OXYCODONE/ACET,7.5,7,12,49,98,210,MARKETED
340,2364115,Keep,HYDROMORPHONE HYDROCHLORIDE 1 MG,TABLET,ORAL,APO-HYDROMORPHONE,5,10,18,70,140,300,MARKETED
341,2364123,Keep,HYDROMORPHONE HYDROCHLORIDE 2 MG,TABLET,ORAL,APO-HYDROMORPHONE,10,5,9,35,70,150,MARKETED
342,2364131,NA,HYDROMORPHONE HYDROCHLORIDE 4 MG,TABLET,ORAL,APO-HYDROMORPHONE,20,2,4,14,28,60,MARKETED
343,2364158,NA,HYDROMORPHONE HYDROCHLORIDE 8 MG,TABLET,ORAL,APO-HYDROMORPHONE,40,1,2,7,14,30,MARKETED
344,2366746,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,7.5,7,12,49,98,210,APPROVED
345,2366754,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,15,3,6,21,42,90,MARKETED
346,2366762,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,30,2,3,14,28,60,APPROVED
347,2366789,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,120,0,1,0,0,0,APPROVED
348,2372525,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,15,3,6,21,42,90,MARKETED
349,2372533,NA,OXYCODONE HYDROCHLORIDE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,22.5,2,4,14,28,60,MARKETED
350,2372541,NA,OXYCODONE HYDROCHLORIDE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,45,1,2,7,14,30,MARKETED
351,2372568,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,60,1,2,7,14,30,MARKETED
352,2372576,NA,OXYCODONE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,90,1,1,7,14,30,MARKETED
353,2372584,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,120,0,1,0,0,0,MARKETED
354,2372797,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,OXYNEO,30,2,3,14,28,60,MARKETED
355,2373017,NA,TRAMADOL HYDROCHLORIDE 100 MG,CAPSULE (EXTENDED RELEASE),ORAL,DURELA,10,5,9,35,70,150,MARKETED
356,2373025,NA,TRAMADOL HYDROCHLORIDE 200 MG,CAPSULE (EXTENDED RELEASE),ORAL,DURELA,20,2,4,14,28,60,MARKETED
357,2373033,NA,TRAMADOL HYDROCHLORIDE 300 MG,CAPSULE (EXTENDED RELEASE),ORAL,DURELA,30,2,3,14,28,60,MARKETED
358,2378272,NA,Tapentadol (Tapentadol Hydrochloride) 50 MG,TABLET (IMMEDIATE RELEASE),ORAL,NUCYNTA IR,15,3,6,21,42,90,MARKETED
359,2378280,NA,Tapentadol (Tapentadol Hydrochloride) 75 MG,TABLET (IMMEDIATE RELEASE),ORAL,NUCYNTA IR,22.5,2,4,14,28,60,MARKETED
360,2378299,NA,Tapentadol (Tapentadol Hydrochloride) 100 MG,TABLET (IMMEDIATE RELEASE),ORAL,NUCYNTA IR,30,2,3,14,28,60,MARKETED
361,2383209,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,ACT TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
362,2387123,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,IPG-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
363,2387425,NA,NALOXONE HYDROCHLORIDE 2.5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
364,2387425,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,7.5,7,12,49,98,210,MARKETED
365,2387425,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,7.5,7,12,49,98,210,MARKETED
366,2387425,NA,NALOXONE HYDROCHLORIDE 2.5 MG,TABLET (EXTENDED-RELEASE),ORAL,TARGIN,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
367,2388197,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,RAN-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
368,2388294,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMAPHEN-ODAN,3.75,13,24,91,182,390,CANCELLED POST MARKET
369,2388308,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,JAMP-ACET-TRAMADOL,3.75,13,24,91,182,390,MARKETED
370,2388324,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MAR-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
371,2388383,NA,METHADONE HYDROCHLORIDE 1 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
372,2388391,NA,METHADONE HYDROCHLORIDE 5 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
373,2388405,NA,METHADONE HYDROCHLORIDE 10 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
374,2388413,NA,METHADONE HYDROCHLORIDE 25 MG,TABLET,ORAL,PMS-METHADONE,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
375,2389274,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PAT-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
376,2389800,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MINT-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
377,2391554,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PRIVA-TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
378,2394170,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,ACT OXYCODONE CR,7.5,7,12,49,98,210,MARKETED
379,2394189,NA,OXYCODONE HYDROCHLORIDE 10 MG,TABLET (EXTENDED-RELEASE),ORAL,ACT OXYCODONE CR,15,3,6,21,42,90,MARKETED
380,2394197,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,ACT OXYCODONE CR,30,2,3,14,28,60,MARKETED
381,2394200,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,ACT OXYCODONE CR,60,1,2,7,14,30,MARKETED
382,2394219,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,ACT OXYCODONE CR,120,0,1,0,0,0,MARKETED
383,2394596,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
384,2394618,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADOSE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
385,2394766,NA,OXYCODONE HYDROCHLORIDE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,22.5,2,4,14,28,60,MARKETED
386,2394774,NA,OXYCODONE HYDROCHLORIDE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,45,1,2,7,14,30,MARKETED
387,2394782,NA,OXYCODONE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,APO-OXYCODONE CR,90,1,1,7,14,30,MARKETED
388,2395657,NA,FENTANYL 12 MCG,PATCH,TRANSDERMAL,FENTANYL PATCH,48,1,2,7,14,30,MARKETED
389,2395665,NA,FENTANYL 25 MCG,PATCH,TRANSDERMAL,FENTANYL PATCH,100,0,1,0,0,0,MARKETED
390,2395673,NA,FENTANYL 50 MCG,PATCH,TRANSDERMAL,FENTANYL PATCH,200,0,0,0,0,0,MARKETED
391,2395681,NA,FENTANYL 75 MCG,PATCH,TRANSDERMAL,FENTANYL PATCH,300,0,0,0,0,0,MARKETED
392,2395703,NA,FENTANYL 100 MCG,PATCH,TRANSDERMAL,FENTANYL PATCH,400,0,0,0,0,0,MARKETED
393,2397536,NA,OXYCODONE HYDROCHLORIDE 5 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,7.5,7,12,49,98,210,APPROVED
394,2397544,NA,OXYCODONE HYDROCHLORIDE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,22.5,2,4,14,28,60,APPROVED
395,2397552,NA,OXYCODONE HYDROCHLORIDE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,45,1,2,7,14,30,APPROVED
396,2397560,NA,OXYCODONE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,PMS-OXYCODONE CR,90,1,1,7,14,30,APPROVED
397,2401657,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,PMS-TRAMADOL-ACET,3.75,13,24,91,182,390,MARKETED
398,2407981,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,LUPIN-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
399,2415577,NA,Tapentadol (Tapentadol Hydrochloride) 50 MG,TABLET (EXTENDED-RELEASE),ORAL,NUCYNTA EXTENDED-RELEASE,15,3,6,21,42,90,MARKETED
400,2415585,NA,Tapentadol (Tapentadol Hydrochloride) 100 MG,TABLET (EXTENDED-RELEASE),ORAL,NUCYNTA EXTENDED-RELEASE,30,2,3,14,28,60,MARKETED
401,2415593,NA,Tapentadol (Tapentadol Hydrochloride) 150 MG,TABLET (EXTENDED-RELEASE),ORAL,NUCYNTA EXTENDED-RELEASE,45,1,2,7,14,30,MARKETED
402,2415607,NA,Tapentadol (Tapentadol Hydrochloride) 200 MG,TABLET (EXTENDED-RELEASE),ORAL,NUCYNTA EXTENDED-RELEASE,60,1,2,7,14,30,MARKETED
403,2415615,NA,Tapentadol (Tapentadol Hydrochloride) 250 MG,TABLET (EXTENDED-RELEASE),ORAL,NUCYNTA EXTENDED-RELEASE,75,1,1,7,14,30,MARKETED
404,2416336,NA,OXYCODONE HYDROCHLORIDE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,RAN-OXYCODONE CR,22.5,2,4,14,28,60,APPROVED
405,2416344,NA,OXYCODONE HYDROCHLORIDE 20 MG,TABLET (EXTENDED-RELEASE),ORAL,RAN-OXYCODONE CR,30,2,3,14,28,60,APPROVED
406,2416352,NA,OXYCODONE HYDROCHLORIDE 40 MG,TABLET (EXTENDED-RELEASE),ORAL,RAN-OXYCODONE CR,60,1,2,7,14,30,APPROVED
407,2416360,NA,OXYCODONE HYDROCHLORIDE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,RAN-OXYCODONE CR,90,1,1,7,14,30,APPROVED
408,2416379,NA,OXYCODONE HYDROCHLORIDE 80 MG,TABLET (EXTENDED-RELEASE),ORAL,RAN-OXYCODONE CR,120,0,1,0,0,0,APPROVED
409,2417502,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL-ACET,3.75,13,24,91,182,390,MARKETED
410,2424959,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,RIVA-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
411,2425599,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,MYLAN-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
412,2426153,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,TRAMADOL,5,10,18,70,140,300,MARKETED
413,2426803,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL/ACET,3.75,13,24,91,182,390,MARKETED
414,2429969,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,TRAMADOL / ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
415,2439050,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,AURO-TRAMADOL/ACETAMINOPHEN,3.75,13,24,91,182,390,MARKETED
416,2439220,NA,CODEINE (CODEINE PHOSPHATE) 8 MG,TABLET,ORAL,TAMICODE TABLETS,1.2,42,75,294,588,1260,APPROVED
417,2444275,NA,NALTREXONE HYDROCHLORIDE 50 MG,TABLET,ORAL,APO-NALTREXONE,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
418,2450429,NA,TRAMADOL HYDROCHLORIDE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,TARO-TRAMADOL ER,10,5,9,35,70,150,MARKETED
419,2450437,NA,TRAMADOL HYDROCHLORIDE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,TARO-TRAMADOL ER,20,2,4,14,28,60,MARKETED
420,2450445,NA,TRAMADOL HYDROCHLORIDE 300 MG,TABLET (EXTENDED-RELEASE),ORAL,TARO-TRAMADOL ER,30,2,3,14,28,60,MARKETED
421,2450771,NA,BUPRENORPHINE 15 MCG,PATCH,TRANSDERMAL,BUTRANS 15,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
422,2451883,NA,NALTREXONE HYDROCHLORIDE 50 MG,TABLET,ORAL,NALTREXONE HYDROCHLORIDE TABLETS USP,Couldn't be calculated,NA,NA,NA,NA,NA,MARKETED
423,2453703,NA,CODEINE PHOSPHATE 8 MG,TABLET,ORAL,WAMPOLE-ACETAMINOPHEN/CODEINE/CAFFEINE,1.2,42,75,294,588,1260,MARKETED
424,2453800,NA,MORPHINE SULFATE 15 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,15,3,6,21,42,90,APPROVED
425,2453827,NA,MORPHINE SULFATE 30 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,30,2,3,14,28,60,APPROVED
426,2453843,NA,MORPHINE SULFATE 60 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,60,1,2,7,14,30,APPROVED
427,2453851,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,100,0,1,0,0,0,APPROVED
428,2453878,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,BAR-MORPHINE SR,200,0,0,0,0,0,APPROVED
429,2460777,NA,HYDROMORPHONE HYDROCHLORIDE 3 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,15,3,6,21,42,90,APPROVED
430,2460785,NA,HYDROMORPHONE HYDROCHLORIDE 4.5 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,22.5,2,4,14,28,60,APPROVED
431,2460793,NA,HYDROMORPHONE HYDROCHLORIDE 6 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,30,2,3,14,28,60,APPROVED
432,2460807,NA,HYDROMORPHONE HYDROCHLORIDE 9 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,45,1,2,7,14,30,APPROVED
433,2460815,NA,HYDROMORPHONE HYDROCHLORIDE 12 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,60,1,2,7,14,30,APPROVED
434,2460823,NA,HYDROMORPHONE HYDROCHLORIDE 18 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,90,1,1,7,14,30,APPROVED
435,2460831,NA,HYDROMORPHONE HYDROCHLORIDE 24 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,120,0,1,0,0,0,APPROVED
436,2460858,NA,HYDROMORPHONE HYDROCHLORIDE 30 MG,CAPSULE (EXTENDED RELEASE),ORAL,BAR-HYDROMORPHONE CR,150,0,1,0,0,0,APPROVED
437,2469650,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,NRA-TRAMADOL/ACET,3.75,13,24,91,182,390,CANCELLED POST MARKET
438,2476614,NA,HYDROMORPHONE HYDROCHLORIDE 3 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,15,3,6,21,42,90,MARKETED
439,2476622,NA,HYDROMORPHONE HYDROCHLORIDE 4.5 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,22.5,2,4,14,28,60,MARKETED
440,2476630,NA,HYDROMORPHONE HYDROCHLORIDE 6 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,30,2,3,14,28,60,MARKETED
441,2476649,NA,HYDROMORPHONE HYDROCHLORIDE 9 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,45,1,2,7,14,30,MARKETED
442,2476657,NA,HYDROMORPHONE HYDROCHLORIDE 12 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,60,1,2,7,14,30,MARKETED
443,2476665,NA,HYDROMORPHONE HYDROCHLORIDE 18 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,90,1,1,7,14,30,MARKETED
444,2476673,NA,HYDROMORPHONE HYDROCHLORIDE 24 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,120,0,1,0,0,0,MARKETED
445,2476681,NA,HYDROMORPHONE HYDROCHLORIDE 30 MG,CAPSULE (EXTENDED RELEASE),ORAL,APO-HYDROMORPHONE CR,150,0,1,0,0,0,MARKETED
446,2477092,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,AG-ACET-TRAMADOL,3.75,13,24,91,182,390,APPROVED
447,2477122,Keep,TRAMADOL HYDROCHLORIDE 37.5 MG,TABLET,ORAL,BIO-TRAMADOL/ACET,3.75,13,24,91,182,390,APPROVED
448,2478889,NA,MORPHINE SULFATE 100 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,100,0,1,0,0,0,NA
449,2478897,NA,MORPHINE SULFATE 200 MG,TABLET (EXTENDED-RELEASE),ORAL,SANDOZ MORPHINE SR,200,0,0,0,0,0,NA
450,2479672,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,AURO-TRAMADOL,5,10,18,70,140,300,MARKETED
451,2480859,Keep,TRAMADOL HYDROCHLORIDE 50 MG,TABLET,ORAL,MAR-TRAMADOL,5,10,18,70,140,300,APPROVED
452,2481979,NA,METHADONE HYDROCHLORIDE 10 MG,SOLUTION,ORAL,METHADONE HYDROCHLORIDE ORAL CONCENTRATE USP,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
453,2485532,NA,HYDROMORPHONE HYDROCHLORIDE 20 MG,SOLUTION,ORAL,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
454,2485540,NA,HYDROMORPHONE HYDROCHLORIDE 40 MG,SOLUTION,ORAL,HYDROMORPHONE HYDROCHLORIDE INJECTION USP,Couldn't be calculated,NA,NA,NA,NA,NA,APPROVED
